Admission No.,Firstname,Surname,DoB,Gender,Year,Class,Marks,TeachersRating
68102,Janet,Baker,12/18/1994,F,7,7w/ict,45,4
68103,Darren,Kirk,12/19/1994,M,7,7w/ict,78,9
68104,Sophie,Meadows,12/20/1993,F,7,7w/ict,65,4
68105,Ravi,Patel,12/21/1994,M,7,7w/ict,98,7
68106,Daisy,Rogers,12/22/1993,F,7,7w/ict,88,9
68107,Tom,Rogers,12/22/1993,M,7,7w/ict,67,8
67998,Brett,Akers,10/11/1994,M,8,8r/ict,52,5
67999,John,Deakin,12/3/1994,M,8,8r/ict,59,5
68000,Celia,Fisher,2/20/1995,F,8,8r/ict,79,9
68001,Leo,Harris,9/21/1994,M,8,8r/ict,64,9
68002,Shankunthala,Patel,6/14/1995,F,8,8r/ict,65,6
67893,Sally,Brown,12/18/1995,F,9,9m/ict,48,7
67894,Jane,Carter,9/12/1995,F,9,9m/ict,99,7
67895,Paul,Edwards,4/20/1996,M,9,9m/ict,46,6
67896,Rachael,Harris,12/11/1995,F,9,9m/ict,39,3
67897,Martin,Lampton,4/2/1996,M,9,9m/ict,91,9
